,price,propertyType,size,exterior,rooms,bathrooms,distance,status,floor,hasLift
55,720.0,flat,133.0,False,3,2,19453,good,1,True
56,600.0,flat,50.0,True,1,1,24430,good,Desconocido,True
57,650.0,flat,61.0,True,1,1,34886,good,2,True
58,650.0,flat,65.0,False,2,1,11537,good,3,False
59,700.0,flat,45.0,True,1,1,12321,good,3,False
60,625.0,flat,62.0,True,2,1,11666,good,bj,False
61,595.0,flat,45.0,True,1,1,4543,good,bj,False
62,650.0,flat,55.0,True,1,1,10495,good,4,True
63,725.0,flat,50.0,True,1,1,7708,good,2,True
64,750.0,flat,95.0,True,3,1,28483,good,8,True
65,700.0,penthouse,30.0,True,1,1,12049,good,1,True
66,700.0,flat,27.0,False,1,1,1391,good,3,False
67,650.0,flat,59.0,True,2,1,30562,good,1,True
68,550.0,flat,40.0,True,1,1,17750,good,3,True
69,650.0,flat,55.0,True,1,1,10296,good,4,True
70,750.0,flat,65.0,True,2,1,5580,good,Desconocido,True
71,725.0,flat,70.0,True,2,1,4117,good,Desconocido,True
72,700.0,flat,80.0,True,1,1,29460,good,1,False
73,650.0,flat,40.0,True,1,1,12224,good,bj,True
74,695.0,flat,90.0,True,3,1,7729,good,Desconocido,False
75,750.0,flat,55.0,True,1,1,6017,good,Desconocido,False
76,650.0,flat,65.0,True,2,1,7559,good,Desconocido,True
77,666.0,flat,70.0,True,1,2,24862,good,1,True
78,750.0,flat,78.0,True,2,2,29976,good,Desconocido,True
79,630.0,flat,74.0,True,3,1,36483,good,Desconocido,True
80,635.0,studio,55.0,True,0,1,14528,good,2,True
81,725.0,flat,69.0,True,2,1,35892,good,1,True
82,750.0,flat,35.0,False,1,1,859,good,1,False
83,690.0,flat,65.0,True,2,1,4724,good,3,False
84,700.0,studio,30.0,False,0,1,1041,good,2,True
85,730.0,flat,64.0,True,3,1,20235,good,1,False
86,750.0,flat,51.0,True,1,1,3436,good,1,True
87,750.0,flat,48.0,False,1,1,20526,good,4,True
88,690.0,flat,35.0,True,1,1,4802,good,Desconocido,False
89,750.0,flat,74.0,True,3,1,13017,good,4,True
90,700.0,duplex,35.0,True,1,1,852,good,bj,False
91,720.0,flat,42.0,True,1,1,8333,good,4,True
92,595.0,flat,55.0,True,1,1,29699,good,1,False
93,700.0,flat,45.0,False,1,1,1113,good,1,False
94,500.0,flat,45.0,True,1,1,32188,good,Desconocido,False
95,700.0,flat,75.0,True,2,1,43915,good,1,False
96,675.0,duplex,87.0,True,2,2,44503,good,2,False
97,650.0,flat,45.0,True,1,1,37741,good,bj,False
98,750.0,studio,55.0,True,0,1,918,good,2,True
99,720.0,studio,45.0,True,0,1,15433,good,5,True
100,624.0,flat,45.0,True,1,1,24077,newdevelopment,Desconocido,True
101,633.0,flat,45.0,True,1,1,24077,newdevelopment,Desconocido,True
102,640.0,studio,33.0,True,0,1,11189,good,2,True
103,645.0,flat,84.0,True,2,2,43827,good,2,True
104,750.0,flat,46.0,False,1,1,1069,good,3,False
105,735.0,studio,35.0,True,0,1,11088,good,1,True
106,600.0,flat,55.0,True,1,1,25189,Desconocido,Desconocido,Desconocido
107,750.0,flat,75.0,True,3,1,8286,good,Desconocido,False
108,600.0,penthouse,25.0,True,1,1,183,good,5,True
109,705.0,flat,48.0,True,1,1,11472,good,4,True
110,650.0,flat,62.0,True,2,1,43229,good,3,False
111,700.0,duplex,61.0,True,2,1,23917,good,1,False
112,650.0,studio,40.0,False,0,1,5088,good,en,True
113,700.0,flat,40.0,True,1,1,3076,good,bj,False
114,730.0,flat,51.0,True,2,1,6767,good,4,False
115,750.0,flat,50.0,True,2,1,8331,good,3,False
116,680.0,flat,56.0,True,2,1,19298,good,3,False
117,710.0,flat,78.0,True,3,1,21617,good,4,False
118,720.0,flat,47.0,True,2,1,7088,good,1,False
119,750.0,studio,43.0,True,0,1,5332,good,Desconocido,True
120,695.0,studio,40.0,True,0,1,12376,good,Desconocido,True
121,630.0,flat,54.0,True,1,2,32432,Desconocido,Desconocido,Desconocido
122,750.0,flat,90.0,True,3,1,26401,good,Desconocido,True
123,730.0,flat,50.0,True,1,1,8717,good,2,True
